BELNR,BUKRS,GJAHR,BUDAT,USNAM
0005000049,CH01,2021,2022-02-19,AMELIEFELDER
0005000050,CH01,2018,2023-04-13,VALERIO02
0005000051,CH01,2019,2019-03-04,LANA65
0005000052,CH01,2019,2023-04-02,MSCHNEIDER
0005000053,CH01,2019,2022-03-10,BOLLIGERLENA
0005000054,CH01,2018,2020-07-22,ENDRIT43
0005000055,CH01,2018,2022-10-22,MARCELOKUNZ
0005000056,CH01,2021,2022-08-03,MIROSLAV68
0005000057,CH01,2018,2019-04-24,NAFGIACOMO
0005000058,CH01,2020,2020-12-10,ZIMMERMANNNA
0005000059,CH01,2021,2025-04-05,HEIDY76
0005000060,CH01,2019,2022-07-04,GAELLEITEN
0005000061,CH01,2018,2025-04-16,DSTOCKER
0005000062,CH01,2021,2024-11-02,METTLERRICAR
0005000063,CH01,2018,2020-05-14,YSIEGRIST
0005000064,CH01,2018,2025-07-10,SNEZANAHUBER
0005000065,CH01,2018,2021-06-14,NADINE80
0005000066,CH01,2018,2023-06-21,RODRIGO41
0005000067,CH01,2020,2021-05-10,MORITZ82
0005000068,CH01,2019,2021-11-25,GINO94
0005000069,CH01,2021,2019-11-05,RITAWALTER
0005000070,CH01,2021,2019-12-18,SAMANTAHARTM
0005000071,CH01,2018,2020-01-05,ROSALIAGUT
0005000072,CH01,2019,2024-06-01,AMIR11
0005000073,CH01,2020,2025-01-02,ASCHWARZ
0005000074,CH01,2020,2023-11-30,METTLERDARDA
0005000075,CH01,2020,2022-11-28,RSCHLATTER
0005000076,CH01,2020,2021-12-31,JEAN-MARC39
0005000077,CH01,2019,2019-06-18,IMERZ
0005000078,CH01,2020,2018-10-17,JAIME27
0005000079,CH01,2021,2025-05-25,SHUBER
0005000080,CH01,2021,2018-08-16,HARISSCHMID
0005000081,CH01,2019,2019-04-09,ANNE-MARIE42
0005000082,CH01,2021,2022-05-28,YANNMEILI
0005000083,CH01,2018,2025-04-09,HAMZA27
0005000084,CH01,2018,2021-07-13,WSUTER
0005000085,CH01,2019,2021-03-03,CHERZOG
0005000086,CH01,2020,2019-10-28,SYLVIESTOCKL
0005000087,CH01,2019,2020-03-01,VOGELGEORGIO
0005000088,CH01,2021,2024-03-11,MKESSLER
0005000089,CH01,2019,2019-08-02,THIAGOZINGG
0005000090,CH01,2018,2018-08-19,IMULLER
0005000091,CH01,2019,2025-07-13,INGE74
0005000092,CH01,2018,2020-04-27,KUHNOTHMAR
0005000093,CH01,2021,2023-05-26,GEIGERSELIN
0005000094,CH01,2018,2020-05-05,MARTIMARCELL
0005000095,CH01,2020,2020-11-27,SHABAN88
0005000096,CH01,2021,2025-01-31,FREDERIK06
0005000097,CH01,2018,2019-05-31,KATJASCHLATT
0005000098,CH01,2020,2023-02-11,AYLINHESS
0005000099,CH01,2020,2021-01-18,VWIRZ
0005000100,CH01,2018,2021-09-10,KESSLERBIANC
0005000101,CH01,2020,2020-07-27,SHPRESAFELBE
0005000102,CH01,2019,2023-01-18,GRZEGORZ99
0005000103,CH01,2020,2021-05-25,BIERIJANIK
0005000104,CH01,2020,2020-12-20,JOST44
0005000105,CH01,2020,2022-10-20,CHAUSER
0005000106,CH01,2021,2024-01-12,LETIZIA98
0005000107,CH01,2020,2025-04-27,LFELBER
0005000108,CH01,2020,2024-07-17,DOLORESGRAF
0005000109,CH01,2021,2023-03-14,FURRERJOAO
0005000110,CH01,2021,2021-05-05,BERGERKRISTI
0005000111,CH01,2020,2024-09-17,BACHMANNLILL
0005000112,CH01,2018,2021-05-05,BRUNISMET
0005000113,CH01,2019,2022-11-21,STAUBALIX
0005000114,CH01,2018,2024-10-05,EDUARDO34
0005000115,CH01,2021,2021-08-31,LORENZOREY
0005000116,CH01,2021,2024-06-07,BARLEILA
0005000117,CH01,2018,2021-01-23,AGATHE77
0005000118,CH01,2019,2025-05-22,SELINA72
0005000119,CH01,2018,2025-05-08,LUZIASCHOCH
0005000120,CH01,2019,2021-10-04,OREY
0005000121,CH01,2021,2023-01-15,ELEONORE57
0005000122,CH01,2021,2022-05-05,MADERBRYAN
0005000123,CH01,2020,2021-02-14,UELI40
0005000124,CH01,2021,2018-07-26,FREDERIKHIRT
0005000125,CH01,2018,2021-11-06,STUCKIRADMIL
0005000126,CH01,2020,2022-01-03,AHOFFMANN
0005000127,CH01,2019,2023-12-04,MELISSA30
0005000128,CH01,2019,2022-05-27,ERNESTSCHAUB
0005000129,CH01,2021,2021-08-16,ADAMTOBLER
0005000130,CH01,2021,2023-09-22,OKERN
0005000131,CH01,2021,2020-05-28,PSENN
0005000132,CH01,2021,2022-03-07,RAUL84
0005000133,CH01,2019,2021-06-15,FLUCKIGERPAO
0005000134,CH01,2021,2020-08-04,CSCHWEIZER
0005000135,CH01,2019,2020-06-20,UFREI
0005000136,CH01,2018,2018-09-13,ROOSANTON
0005000137,CH01,2018,2019-11-13,HESSYANN
0005000138,CH01,2021,2019-06-10,AWAGNER
0005000139,CH01,2020,2020-03-12,ERNSTMOSER
0005000140,CH01,2021,2020-02-01,YHOTZ
0005000141,CH01,2018,2024-02-28,JORDAN05
0005000142,CH01,2020,2019-02-16,WILLIHASLER
0005000143,CH01,2018,2023-12-29,SCHAFERGENNA
0005000144,CH01,2019,2019-11-02,ANNELIES60
0005000145,CH01,2019,2019-06-02,JULIOWIRTH
0005000146,CH01,2019,2025-05-22,YOLANDEBAR
0005000147,CH01,2020,2019-12-17,PROBSTNAOMI
0005000148,CH01,2021,2025-06-09,RKOCH
0005000149,CH01,2019,2025-04-16,JUSTIN08
0005000150,CH01,2018,2022-03-18,MARIUSZ43
0005000151,CH01,2018,2021-02-01,STEIGERLUCIE
0005000152,CH01,2021,2025-05-17,TATIANALUTHI
0005000153,CH01,2020,2020-11-01,FABIANAHERMA
0005000154,CH01,2021,2022-08-28,PZBINDEN
0005000155,CH01,2021,2018-08-17,SCHMIDJEANET
0005000156,CH01,2020,2023-05-26,DARDANWIRTH
0005000157,CH01,2021,2019-03-11,SARAHBOLLIGE
0005000158,CH01,2021,2023-05-14,LESLIE00
0005000159,CH01,2019,2021-01-19,JASMINAROTH
0005000160,CH01,2020,2024-02-07,MARIAGLOOR
0005000161,CH01,2018,2020-10-12,LEJLA73
0005000162,CH01,2019,2018-09-18,UKAISER
0005000163,CH01,2019,2019-07-05,MEYERANNELIS
0005000164,CH01,2018,2021-08-17,BETTINA73
0005000165,CH01,2019,2022-07-13,ARSIM74
0005000166,CH01,2021,2024-08-20,MIKERITTER
0005000167,CH01,2020,2019-08-26,JILL48
0005000168,CH01,2020,2021-02-18,WIRZIRINA
0005000169,CH01,2020,2022-02-08,THERESAMREIN
0005000170,CH01,2019,2022-11-26,LOU93
0005000171,CH01,2020,2020-10-22,STAUFFERBLER
0005000172,CH01,2019,2022-05-03,HFREI
0005000173,CH01,2019,2023-05-07,ELVIRAHESS
0005000174,CH01,2020,2020-10-27,STEFANO18
0005000175,CH01,2018,2023-03-06,EGGERROMEO
0005000176,CH01,2021,2024-09-04,FERNANDOMEYE
0005000177,CH01,2018,2019-11-27,SCHERRERIREN
0005000178,CH01,2018,2024-06-01,NREY
0005000179,CH01,2018,2023-06-22,SASCHA53
0005000180,CH01,2018,2022-10-21,AMMANNEVE
0005000181,CH01,2021,2025-01-04,DBIERI
0005000182,CH01,2021,2024-03-03,KALINVALENTI
0005000183,CH01,2021,2023-10-08,YKAUFMANN
0005000184,CH01,2018,2023-07-10,TAMARA01
0005000185,CH01,2020,2024-05-27,GEIGERPATRIC
0005000186,CH01,2019,2022-03-14,VOGTDARKO
0005000187,CH01,2021,2022-04-14,SACHAREY
0005000188,CH01,2020,2023-02-28,ANNEMARIEWEH
0005000189,CH01,2021,2022-06-21,WINKLERBERTH
0005000190,CH01,2019,2022-08-07,QSUTER
0005000191,CH01,2019,2021-07-21,FELBERJOSEPH
0005000192,CH01,2018,2019-10-30,VOTT
0005000193,CH01,2020,2023-03-02,UKAGI
0005000194,CH01,2021,2022-06-01,BEATA56
0005000195,CH01,2021,2023-11-30,UVOGT
0005000196,CH01,2021,2022-10-28,METINWINKLER
0005000197,CH01,2018,2022-06-01,SHABAN77
0005000198,CH01,2020,2025-04-13,VOGTERICH
0005000199,CH01,2021,2025-06-11,PORTMANNJORG
0005000200,CH01,2021,2025-07-08,BRUNO43
0005000201,CH01,2020,2020-01-26,FRANZ48
0005000202,CH01,2019,2022-02-21,JURGENBATTIG
0005000203,CH01,2021,2021-10-14,MAURIZIOHART
0005000204,CH01,2021,2021-02-18,ALBANHAFLIGE
0005000205,CH01,2018,2024-03-29,SCHERRERABDU
0005000206,CH01,2018,2022-07-19,FLURINABIANC
0005000207,CH01,2021,2023-08-18,FFERRARI
0005000208,CH01,2021,2024-05-05,SCHOCHLAETIT
0005000209,CH01,2020,2020-08-31,XBIERI
0005000210,CH01,2021,2018-12-15,NEMANJA66
0005000211,CH01,2019,2025-01-27,WIRTHFREDY
0005000212,CH01,2021,2023-10-19,SIEGRISTIREN
0005000213,CH01,2018,2022-12-27,HOFSTETTERSA
0005000214,CH01,2020,2018-11-08,GERALDNAF
0005000215,CH01,2021,2023-06-13,GEORGSTEINMA
0005000216,CH01,2019,2023-09-07,WMAIER
0005000217,CH01,2019,2022-09-24,GERBERMATEJ
0005000218,CH01,2020,2020-08-04,IERNST
0005000219,CH01,2018,2020-12-01,VSCHERRER
0005000220,CH01,2021,2018-11-29,FHARTMANN
0005000221,CH01,2021,2021-05-09,SWIRZ
0005000222,CH01,2021,2019-06-24,KASTRIOTSCHA
0005000223,CH01,2019,2019-12-14,KSTALDER
0005000224,CH01,2018,2019-12-09,YUSUFBETSCHA
0005000225,CH01,2021,2020-06-05,RHUNZIKER
0005000226,CH01,2018,2025-01-12,BUCHERHILDA
0005000227,CH01,2018,2021-06-17,KARSTEN35
0005000228,CH01,2021,2020-12-22,WIRTHKENAN
0005000229,CH01,2019,2019-10-01,VICTORIA79
0005000230,CH01,2021,2019-08-02,GLOORMILOS
0005000231,CH01,2021,2023-05-12,GAELLEWAGNER
0005000232,CH01,2018,2024-07-13,WEBERGIAN
0005000233,CH01,2019,2020-04-07,ESMAHIRT
0005000234,CH01,2018,2018-08-30,HOFSTETTERGZ
0005000235,CH01,2018,2021-11-11,ALAN83
0005000236,CH01,2020,2019-12-28,SELINA79
0005000237,CH01,2021,2023-09-03,MARYSTUTZ
0005000238,CH01,2019,2023-03-30,QSCHMIDT
0005000239,CH01,2021,2022-04-02,LAURENT04
0005000240,CH01,2021,2019-12-20,ALESSANDRO70
0005000241,CH01,2021,2019-01-12,JOSETTE51
0005000242,CH01,2018,2018-09-12,YGLOOR
0005000243,CH01,2021,2022-02-14,HUBERARBNOR
0005000244,CH01,2019,2024-08-18,FORSTERBEKIM
0005000245,CH01,2019,2022-01-25,TSCHAUB
0005000246,CH01,2020,2018-09-18,RADMILARITTE
0005000247,CH01,2021,2020-09-12,VKOHLER
0005000248,CH01,2021,2019-08-31,ELISE55
0005000249,CH01,2020,2022-12-10,ESTHERHERMAN
0005000250,CH01,2019,2024-03-31,SILJA60
0005000251,CH01,2021,2025-03-04,ENES25
0005000252,CH01,2018,2024-11-04,NORBERTWAGNE
0005000253,CH01,2019,2021-03-28,BURAKGROB
0005000254,CH01,2020,2022-07-29,MHOTZ
0005000255,CH01,2020,2020-11-13,ELIOSTAUB
0005000256,CH01,2021,2019-07-15,NORMAEICHENB
0005000257,CH01,2021,2020-09-22,SWENWIRTH
0005000258,CH01,2018,2019-08-01,LEANBERNASCO
0005000259,CH01,2018,2022-06-19,FORSTERLEAN
0005000260,CH01,2021,2024-06-09,FILOMENABADE
0005000261,CH01,2019,2023-12-03,TLANZ
0005000262,CH01,2020,2021-08-31,RICCARDO31
0005000263,CH01,2021,2019-06-27,WIDMERIVANA
0005000264,CH01,2018,2022-11-18,KATHRINGLOOR
0005000265,CH01,2021,2020-03-07,KAISERWILLY
0005000266,CH01,2019,2023-05-19,GEGLI
0005000267,CH01,2021,2024-06-26,PTHOMMEN
0005000268,CH01,2018,2021-03-07,EMICHEL
0005000269,CH01,2020,2019-07-12,TIMOTHYBAR
0005000270,CH01,2021,2021-06-04,HAUSERTESSA
0005000271,CH01,2018,2021-06-15,GAELLEFUCHS
0005000272,CH01,2020,2019-01-11,FSCHWARZ
0005000273,CH01,2018,2023-05-19,BGUT
0005000274,CH01,2019,2021-05-25,SCHURCHROSWI
0005000275,CH01,2018,2024-05-01,KARL-HEINZ99
0005000276,CH01,2019,2022-09-20,PROBSTCOLIN
0005000277,CH01,2019,2021-09-22,GROSSSIMONE
0005000278,CH01,2019,2022-04-30,SCHARERROUVE
0005000279,CH01,2020,2022-03-06,FREIKRISTIAN
0005000280,CH01,2020,2021-08-22,SHEILA47
0005000281,CH01,2019,2019-09-24,ELVIRA08
0005000282,CH01,2018,2024-11-20,CSTADELMANN
0005000283,CH01,2021,2019-03-14,FLUCKIGERGIU
0005000284,CH01,2021,2022-08-30,JAYDENLANZ
0005000285,CH01,2021,2020-10-29,FISCHERBALZ
0005000286,CH01,2020,2022-09-11,CHEYENNEMART
0005000287,CH01,2021,2019-03-13,CYNTHIA21
0005000288,CH01,2021,2019-03-16,XSIEGRIST
0005000289,CH01,2018,2019-03-01,YWAGNER
0005000290,CH01,2019,2025-05-22,NIKOLAOSSCHA
0005000291,CH01,2020,2021-03-24,MIRELAISLER
0005000292,CH01,2020,2022-07-10,JULIUSERNST
0005000293,CH01,2018,2019-10-26,LEUBRYAN
0005000294,CH01,2019,2020-09-24,OHIRT
0005000295,CH01,2020,2019-10-30,MILKAFRIEDLI
0005000296,CH01,2018,2018-08-04,HEINZ77
0005000297,CH01,2020,2024-07-20,SCHURCHCHEYE
0005000298,CH01,2018,2022-01-07,LAURENCESTAU
0005000299,CH01,2018,2021-11-22,FMADER
0005000300,CH01,2018,2022-10-09,GROSSFRIDA
0005000301,CH01,2020,2022-05-25,SASCHAFORSTE
0005000302,CH01,2021,2019-08-08,GIUSEPPE20
0005000303,CH01,2020,2023-03-26,LEANDER10
0005000304,CH01,2019,2019-04-30,PIRMINSTEINM
0005000305,CH01,2018,2020-07-21,NIVESMARTIN
0005000306,CH01,2018,2023-10-23,ALIX01
0005000307,CH01,2021,2023-12-11,MENTOR61
0005000308,CH01,2018,2023-11-15,HODELMARIAN
0005000309,CH01,2019,2019-07-04,MARCOS86
0005000310,CH01,2020,2022-03-27,IVANABECK
0005000311,CH01,2021,2019-05-01,METTLERHANNE
0005000312,CH01,2019,2023-05-21,STJEPAN95
0005000313,CH01,2019,2020-05-19,ELEONORE29
0005000314,CH01,2018,2022-07-03,ZMOSER
0005000315,CH01,2018,2019-10-28,CELINEHODEL
0005000316,CH01,2021,2025-06-01,BUHLMANNJAN
0005000317,CH01,2020,2021-10-26,WALTERMARIEL
0005000318,CH01,2020,2020-01-06,CLANZ
0005000319,CH01,2020,2020-11-25,SIMONSIGRIST
0005000320,CH01,2018,2019-12-22,FATMIR14
0005000321,CH01,2020,2020-08-31,KELLY01
0005000322,CH01,2021,2023-05-13,DEVIN99
0005000323,CH01,2019,2025-04-14,TONIIMHOF
0005000324,CH01,2021,2024-05-26,ZMEISTER
0005000325,CH01,2018,2018-10-24,ARNEFANKHAUS
0005000326,CH01,2021,2022-12-15,JASIN60
0005000327,CH01,2018,2024-05-29,IDA58
0005000328,CH01,2021,2022-04-25,LORENASTOCKL
0005000329,CH01,2021,2020-11-19,DIEGO24
0005000330,CH01,2021,2024-06-12,METIN82
0005000331,CH01,2020,2022-07-24,MFORSTER
0005000332,CH01,2018,2019-05-20,ALENA50
0005000333,CH01,2020,2020-06-18,MULLERMOIRA
0005000334,CH01,2018,2020-03-24,NHOFMANN
0005000335,CH01,2019,2022-03-29,JUANKELLER
0005000336,CH01,2021,2024-01-22,FILIPABOLLIG
0005000337,CH01,2021,2021-09-02,ZIEGLERGEBHA
0005000338,CH01,2020,2024-11-24,OSCARJAGGI
0005000339,CH01,2021,2025-01-10,ANNIE52
0005000340,CH01,2020,2023-12-13,PORTMANNGISE
0005000341,CH01,2021,2025-07-06,GORDANABATTI
0005000342,CH01,2018,2021-10-12,AEBIGIANCARL
0005000343,CH01,2021,2025-02-02,ISLERGOKHAN
0005000344,CH01,2021,2024-10-14,PROBSTELLEN
0005000345,CH01,2020,2023-03-06,ANDRE94
0005000346,CH01,2018,2023-01-13,DIETRICHFRIE
0005000347,CH01,2019,2019-11-30,DORA57
0005000348,CH01,2019,2023-04-06,RONALD24
0005000349,CH01,2021,2019-05-14,FUCHSBETTINA
0005000350,CH01,2020,2021-01-06,SEAN24
0005000351,CH01,2021,2022-08-01,ARTHURHOTZ
0005000352,CH01,2020,2022-11-09,RENATE70
0005000353,CH01,2020,2019-06-23,DSTEINMANN
0005000354,CH01,2018,2019-04-22,BLUMONUR
0005000355,CH01,2019,2021-04-22,WSCHWARZ
0005000356,CH01,2021,2020-10-01,RENEEWETTSTE
0005000357,CH01,2020,2023-04-05,WENGERYASMIN
0005000358,CH01,2021,2021-10-28,CARLOZURCHER
0005000359,CH01,2018,2024-03-06,DBOSSHARD
0005000360,CH01,2018,2020-09-26,OMEILI
0005000361,CH01,2019,2025-03-12,SANDYSCHWARZ
0005000362,CH01,2021,2020-05-15,DETLEF25
0005000363,CH01,2021,2024-02-01,FELICE70
0005000364,CH01,2019,2019-01-09,JOSTISTVAN
0005000365,CH01,2020,2021-10-16,EDINWINKLER
0005000366,CH01,2021,2021-01-02,FRANZISKABRU
0005000367,CH01,2021,2021-05-27,HURLIMANNHEL
0005000368,CH01,2020,2023-02-09,MONIQUE76
0005000369,CH01,2018,2022-09-12,FLAVIAGROSS
0005000370,CH01,2020,2022-05-26,EKNECHT
0005000371,CH01,2021,2020-12-12,BWUTHRICH
0005000372,CH01,2018,2022-07-14,CARLA32
0005000373,CH01,2020,2023-03-15,WEBERLESLIE
0005000374,CH01,2021,2023-07-19,LBUHLER
0005000375,CH01,2018,2022-09-26,LINA17
0005000376,CH01,2018,2019-10-19,MBERNASCONI
0005000377,CH01,2019,2019-04-29,FHURLIMANN
0005000378,CH01,2021,2023-01-29,BOLLIGERBRIA
0005000379,CH01,2018,2024-04-13,WENGERFRIDOL
0005000380,CH01,2021,2023-03-11,SROOS
0005000381,CH01,2020,2021-04-17,NFRICK
0005000382,CH01,2021,2023-05-02,JANN94
0005000383,CH01,2018,2024-12-28,WTOBLER
0005000384,CH01,2019,2025-06-30,SCHWABMARTIN
0005000385,CH01,2019,2021-05-24,MERCEDESHOFE
0005000386,CH01,2020,2019-01-01,ACKERMANNMAR
0005000387,CH01,2018,2022-06-26,MUSTAFA40
0005000388,CH01,2021,2020-03-18,USENN
0005000389,CH01,2020,2023-07-19,BKESSLER
0005000390,CH01,2018,2022-05-19,MAHMUTEICHEN
0005000391,CH01,2018,2019-11-19,AKALIN
0005000392,CH01,2021,2019-08-24,HARALDALBREC
0005000393,CH01,2019,2019-01-25,ERNIELIF
0005000394,CH01,2020,2024-10-03,FEGLI
0005000395,CH01,2020,2019-07-11,YMARTIN
0005000396,CH01,2021,2023-06-07,LSEILER
0005000397,CH01,2020,2021-09-29,CSCHAR
0005000398,CH01,2020,2021-04-04,GEORGESLEUNB
0005000399,CH01,2021,2022-10-18,PWALDER
