BELNR,BUZEI,KUNNR,WRBTR,WAERS,SGTXT
0005000188,001,0000001072,8208.33,CHF,Consulting Q3
0005000189,001,0000001067,17841.38,CHF,Hardware purchase
0005000190,001,0000001057,106313.48,CHF,License renewal
0005000191,001,0000001018,227107.44,CHF,Hardware purchase
0005000192,001,0000001145,41522.40,CHF,Consulting Q3
0005000193,001,0000001077,109816.40,CHF,Freight costs
0005000194,001,0000001138,235671.93,CHF,License renewal
0005000195,001,0000001010,109467.83,CHF,License renewal
0005000196,001,0000001064,183646.75,CHF,License renewal
0005000197,001,0000001005,22877.16,CHF,License renewal
0005000198,001,0000001120,144082.93,CHF,Hardware purchase
0005000199,001,0000001149,229022.39,CHF,Hardware purchase
0005000200,001,0000001120,158714.44,CHF,"Payment to Geiger, Cristina re invoice 21959"
0005000201,001,0000001026,102116.61,CHF,Consulting Q3
0005000202,001,0000001073,82484.43,CHF,Freight costs
0005000203,001,0000001009,203400.83,CHF,License renewal
0005000204,001,0000001082,22060.55,CHF,Consulting Q3
0005000205,001,0000001131,242547.67,CHF,Freight costs
0005000206,001,0000001118,164432.21,CHF,License renewal
0005000207,001,0000001092,13598.31,CHF,License renewal
0005000208,001,0000001052,156370.92,CHF,Monthly service fee
0005000209,001,0000001112,137327.45,CHF,Consulting Q3
0005000210,001,0000001061,30400.45,CHF,License renewal
0005000211,001,0000001141,77722.00,CHF,Monthly service fee
0005000212,001,0000001118,23347.64,CHF,Monthly service fee
0005000213,001,0000001127,161945.04,CHF,Hardware purchase
0005000214,001,0000001106,127242.56,CHF,Consulting Q3
0005000215,001,0000001116,245062.15,CHF,Hardware purchase
0005000216,001,0000001130,95927.32,CHF,License renewal
0005000217,001,0000001106,216013.53,CHF,Consulting Q3
0005000218,001,0000001068,233565.39,CHF,License renewal
0005000219,001,0000001148,70745.60,CHF,Consulting Q3
0005000220,001,0000001137,216321.89,CHF,Freight costs
0005000221,001,0000001139,86313.73,CHF,License renewal
0005000222,001,0000001048,113863.39,CHF,Consulting Q3
0005000223,001,0000001105,142970.82,CHF,Hardware purchase
0005000224,001,0000001097,79578.17,CHF,Freight costs
0005000225,001,0000001126,247104.08,CHF,Hardware purchase
0005000226,001,0000001084,31605.26,CHF,License renewal
0005000227,001,0000001025,218553.88,CHF,Freight costs
0005000228,001,0000001104,3886.13,CHF,Hardware purchase
0005000229,001,0000001086,18753.32,CHF,Consulting Q3
0005000230,001,0000001136,162476.67,CHF,Consulting Q3
0005000231,001,0000001138,238537.19,CHF,Freight costs
0005000232,001,0000001073,154383.99,CHF,Hardware purchase
0005000233,001,0000001025,186704.25,CHF,Freight costs
0005000234,001,0000001007,110947.45,CHF,Consulting Q3
0005000235,001,0000001075,81127.45,CHF,Monthly service fee
0005000236,001,0000001062,93741.53,CHF,Hardware purchase
0005000237,001,0000001043,141503.72,CHF,Hardware purchase
0005000238,001,0000001061,19788.14,CHF,Freight costs
0005000239,001,0000001059,228211.61,CHF,Hardware purchase
0005000240,001,0000001002,159494.26,CHF,Payment to MICHELE ZIEGLER re invoice 43466
0005000241,001,0000001040,225307.30,CHF,License renewal
0005000242,001,0000001076,110460.36,CHF,Consulting Q3
0005000243,001,0000001077,172593.86,CHF,Freight costs
0005000244,001,0000001027,249843.42,CHF,Freight costs
0005000245,001,0000001147,95372.01,CHF,Consulting Q3
0005000246,001,0000001005,248173.38,CHF,Consulting Q3
0005000247,001,0000001012,68656.37,CHF,License renewal
0005000248,001,0000001058,208218.08,CHF,Consulting Q3
0005000249,001,0000001064,54790.18,CHF,Hardware purchase
0005000250,001,0000001079,157080.61,CHF,Monthly service fee
0005000251,001,0000001033,8389.46,CHF,Consulting Q3
0005000252,001,0000001106,227411.47,CHF,Consulting Q3
0005000253,001,0000001093,50238.66,CHF,License renewal
0005000254,001,0000001123,207626.63,CHF,Consulting Q3
0005000255,001,0000001029,186652.51,CHF,Consulting Q3
0005000256,001,0000001057,240725.18,CHF,Hardware purchase
0005000257,001,0000001093,241819.07,CHF,License renewal
0005000258,001,0000001067,197680.96,CHF,Monthly service fee
0005000259,001,0000001149,113723.77,CHF,Consulting Q3
0005000260,001,0000001027,205613.20,CHF,Consulting Q3
0005000261,001,0000001143,117895.64,CHF,License renewal
0005000262,001,0000001016,228818.21,CHF,Hardware purchase
0005000263,001,0000001104,227351.44,CHF,Consulting Q3
0005000264,001,0000001077,34987.26,CHF,Monthly service fee
0005000265,001,0000001137,29074.31,CHF,Hardware purchase
0005000266,001,0000001138,97192.03,CHF,Consulting Q3
0005000267,001,0000001106,146855.72,CHF,Hardware purchase
0005000268,001,0000001104,208431.59,CHF,License renewal
0005000269,001,0000001055,8227.44,CHF,Consulting Q3
0005000270,001,0000001092,111201.73,CHF,Hardware purchase
0005000271,001,0000001139,245232.88,CHF,Consulting Q3
0005000272,001,0000001048,15184.49,CHF,Consulting Q3
0005000273,001,0000001023,237255.25,CHF,Freight costs
0005000274,001,0000001005,160444.03,CHF,License renewal
0005000275,001,0000001032,196709.31,CHF,Hardware purchase
0005000276,001,0000001053,17199.11,CHF,License renewal
0005000277,001,0000001084,203272.59,CHF,Hardware purchase
0005000278,001,0000001000,197171.51,CHF,License renewal
0005000279,001,0000001033,214608.61,CHF,Hardware purchase
0005000280,001,0000001006,199638.53,CHF,Payment to Alessandra Frey re invoice 96646
0005000281,001,0000001082,3764.34,CHF,Hardware purchase
0005000282,001,0000001032,43602.84,CHF,Monthly service fee
0005000283,001,0000001121,131545.08,CHF,Monthly service fee
0005000284,001,0000001027,194515.36,CHF,License renewal
0005000285,001,0000001011,125984.48,CHF,License renewal
0005000286,001,0000001015,114537.73,CHF,Monthly service fee
0005000287,001,0000001027,211832.27,CHF,Freight costs
0005000288,001,0000001018,178114.71,CHF,Freight costs
0005000289,001,0000001016,80561.85,CHF,Hardware purchase
0005000290,001,0000001140,68790.25,CHF,License renewal
0005000291,001,0000001135,95257.05,CHF,License renewal
0005000292,001,0000001110,113456.17,CHF,License renewal
0005000293,001,0000001141,198284.37,CHF,Monthly service fee
0005000294,001,0000001105,107545.98,CHF,Hardware purchase
0005000295,001,0000001106,206863.44,CHF,Freight costs
0005000296,001,0000001065,78171.46,CHF,Consulting Q3
0005000297,001,0000001017,238400.45,CHF,Freight costs
0005000298,001,0000001110,207951.38,CHF,Monthly service fee
0005000299,001,0000001033,186160.01,CHF,Consulting Q3
0005000300,001,0000001143,146636.95,CHF,License renewal
0005000301,001,0000001090,167519.82,CHF,Freight costs
0005000302,001,0000001073,217029.63,CHF,Monthly service fee
0005000303,001,0000001129,87943.96,CHF,License renewal
0005000304,001,0000001057,38724.81,CHF,Freight costs
0005000305,001,0000001094,87560.99,CHF,License renewal
0005000306,001,0000001057,190663.28,CHF,License renewal
0005000307,001,0000001142,211296.53,CHF,License renewal
0005000308,001,0000001007,152268.28,CHF,Consulting Q3
0005000309,001,0000001086,68353.93,CHF,Consulting Q3
0005000310,001,0000001144,1576.14,CHF,Hardware purchase
0005000311,001,0000001023,17442.88,CHF,Monthly service fee
0005000312,001,0000001087,94079.79,CHF,Freight costs
0005000313,001,0000001145,92544.77,CHF,Consulting Q3
0005000314,001,0000001040,220841.38,CHF,Hardware purchase
0005000315,001,0000001113,168508.48,CHF,Consulting Q3
0005000316,001,0000001106,121441.14,CHF,Freight costs
0005000317,001,0000001029,53931.46,CHF,License renewal
0005000318,001,0000001124,107506.91,CHF,Consulting Q3
0005000319,001,0000001014,11402.07,CHF,Freight costs
0005000320,001,0000001065,51145.56,CHF,Payment to CRISTINA GEIGER re invoice 27987
0005000321,001,0000001127,82064.18,CHF,Monthly service fee
0005000322,001,0000001136,43964.92,CHF,Freight costs
0005000323,001,0000001018,125090.57,CHF,Consulting Q3
0005000324,001,0000001111,215448.00,CHF,Monthly service fee
0005000325,001,0000001080,114965.57,CHF,Monthly service fee
0005000326,001,0000001074,143371.25,CHF,Freight costs
0005000327,001,0000001043,101287.83,CHF,Consulting Q3
0005000328,001,0000001022,208014.88,CHF,Consulting Q3
0005000329,001,0000001111,211128.87,CHF,Hardware purchase
0005000330,001,0000001079,131014.44,CHF,Freight costs
0005000331,001,0000001019,55431.94,CHF,Hardware purchase
0005000332,001,0000001089,132674.67,CHF,Hardware purchase
0005000333,001,0000001060,181858.41,CHF,Hardware purchase
0005000334,001,0000001044,36653.73,CHF,Hardware purchase
0005000335,001,0000001045,190065.81,CHF,Monthly service fee
0005000336,001,0000001148,116015.07,CHF,License renewal
0005000337,001,0000001082,170299.31,CHF,License renewal
0005000338,001,0000001120,37781.80,CHF,Monthly service fee
0005000339,001,0000001014,157864.71,CHF,Consulting Q3
0005000340,001,0000001118,126858.85,CHF,Consulting Q3
0005000341,001,0000001073,9449.93,CHF,Consulting Q3
0005000342,001,0000001129,161184.38,CHF,Monthly service fee
0005000343,001,0000001010,115704.78,CHF,License renewal
0005000344,001,0000001048,227267.04,CHF,License renewal
0005000345,001,0000001038,151271.21,CHF,License renewal
0005000346,001,0000001021,112658.25,CHF,Consulting Q3
0005000347,001,0000001112,9833.57,CHF,Freight costs
0005000348,001,0000001099,91006.30,CHF,Consulting Q3
0005000349,001,0000001013,193627.47,CHF,License renewal
0005000350,001,0000001142,16524.67,CHF,Monthly service fee
0005000351,001,0000001038,71072.54,CHF,License renewal
0005000352,001,0000001089,20421.42,CHF,Hardware purchase
0005000353,001,0000001033,241925.74,CHF,Freight costs
0005000354,001,0000001084,77429.99,CHF,Freight costs
0005000355,001,0000001023,167545.59,CHF,License renewal
0005000356,001,0000001092,127146.70,CHF,Monthly service fee
0005000357,001,0000001087,45106.72,CHF,Hardware purchase
0005000358,001,0000001039,48041.71,CHF,Hardware purchase
0005000359,001,0000001129,73983.24,CHF,Monthly service fee
0005000360,001,0000001096,165499.21,CHF,Payment to Michele Ziegler re invoice 27176
0005000361,001,0000001042,40603.69,CHF,License renewal
0005000362,001,0000001060,10970.92,CHF,Consulting Q3
0005000363,001,0000001059,152668.33,CHF,Freight costs
0005000364,001,0000001049,77401.50,CHF,Freight costs
0005000365,001,0000001112,169592.79,CHF,License renewal
0005000366,001,0000001128,192371.17,CHF,Freight costs
0005000367,001,0000001035,241568.72,CHF,Hardware purchase
0005000368,001,0000001095,13092.34,CHF,Freight costs
0005000369,001,0000001031,177864.67,CHF,License renewal
0005000370,001,0000001069,21014.59,CHF,Hardware purchase
0005000371,001,0000001111,226331.29,CHF,Hardware purchase
0005000372,001,0000001115,236606.00,CHF,Hardware purchase
0005000373,001,0000001013,232621.46,CHF,Freight costs
0005000374,001,0000001098,125526.68,CHF,Hardware purchase
0005000375,001,0000001081,93759.42,CHF,Monthly service fee
0005000376,001,0000001037,209802.11,CHF,Consulting Q3
0005000377,001,0000001035,9623.88,CHF,Freight costs
0005000378,001,0000001020,112177.94,CHF,Monthly service fee
0005000379,001,0000001140,64018.19,CHF,Hardware purchase
0005000380,001,0000001060,27841.16,CHF,Consulting Q3
0005000381,001,0000001107,30505.99,CHF,Hardware purchase
0005000382,001,0000001137,15748.65,CHF,Freight costs
0005000383,001,0000001061,158007.14,CHF,License renewal
0005000384,001,0000001090,72853.43,CHF,Monthly service fee
0005000385,001,0000001021,142687.40,CHF,Hardware purchase
0005000386,001,0000001139,16966.45,CHF,License renewal
0005000387,001,0000001011,97643.91,CHF,Freight costs
0005000388,001,0000001004,245260.80,CHF,Consulting Q3
0005000389,001,0000001061,197140.58,CHF,Consulting Q3
0005000390,001,0000001034,192886.77,CHF,Consulting Q3
0005000391,001,0000001044,88107.15,CHF,Consulting Q3
0005000392,001,0000001046,245205.76,CHF,Freight costs
0005000393,001,0000001009,15821.98,CHF,Freight costs
0005000394,001,0000001010,50437.67,CHF,Hardware purchase
0005000395,001,0000001101,233346.08,CHF,License renewal
0005000396,001,0000001073,63365.78,CHF,Hardware purchase
0005000397,001,0000001084,215541.53,CHF,Monthly service fee
0005000398,001,0000001111,31162.53,CHF,Consulting Q3
0005000399,001,0000001086,185839.76,CHF,Freight costs
