BELNR,BUKRS,GJAHR,BUDAT,USNAM
0005000125,CH01,2018,2021-11-05,STUCKIRADMIL
0005000126,CH01,2020,2022-01-02,AHOFFMANN
0005000127,CH01,2019,2023-12-03,MELISSA30
0005000128,CH01,2019,2022-05-26,ERNESTSCHAUB
0005000129,CH01,2021,2021-08-15,ADAMTOBLER
0005000130,CH01,2021,2023-09-21,OKERN
0005000131,CH01,2021,2020-05-27,PSENN
0005000132,CH01,2021,2022-03-06,RAUL84
0005000133,CH01,2019,2021-06-14,FLUCKIGERPAO
0005000134,CH01,2021,2020-08-03,CSCHWEIZER
0005000135,CH01,2019,2020-06-19,UFREI
0005000136,CH01,2018,2018-09-12,ROOSANTON
0005000137,CH01,2018,2019-11-12,HESSYANN
0005000138,CH01,2021,2019-06-09,AWAGNER
0005000139,CH01,2020,2020-03-11,ERNSTMOSER
0005000140,CH01,2021,2020-01-31,YHOTZ
0005000141,CH01,2018,2024-02-27,JORDAN05
0005000142,CH01,2020,2019-02-15,WILLIHASLER
0005000143,CH01,2018,2023-12-28,SCHAFERGENNA
0005000144,CH01,2019,2019-11-01,ANNELIES60
0005000145,CH01,2019,2019-06-01,JULIOWIRTH
0005000146,CH01,2019,2025-05-21,YOLANDEBAR
0005000147,CH01,2020,2019-12-16,PROBSTNAOMI
0005000148,CH01,2021,2025-06-08,RKOCH
0005000149,CH01,2019,2025-04-15,JUSTIN08
0005000150,CH01,2018,2022-03-17,MARIUSZ43
0005000151,CH01,2018,2021-01-31,STEIGERLUCIE
0005000152,CH01,2021,2025-05-16,TATIANALUTHI
0005000153,CH01,2020,2020-10-31,FABIANAHERMA
0005000154,CH01,2021,2022-08-27,PZBINDEN
0005000155,CH01,2021,2018-08-16,SCHMIDJEANET
0005000156,CH01,2020,2023-05-25,DARDANWIRTH
0005000157,CH01,2021,2019-03-10,SARAHBOLLIGE
0005000158,CH01,2021,2023-05-13,LESLIE00
0005000159,CH01,2019,2021-01-18,JASMINAROTH
0005000160,CH01,2020,2024-02-06,MARIAGLOOR
0005000161,CH01,2018,2020-10-11,LEJLA73
0005000162,CH01,2019,2018-09-17,UKAISER
0005000163,CH01,2019,2019-07-04,MEYERANNELIS
0005000164,CH01,2018,2021-08-16,BETTINA73
0005000165,CH01,2019,2022-07-12,ARSIM74
0005000166,CH01,2021,2024-08-19,MIKERITTER
0005000167,CH01,2020,2019-08-25,JILL48
0005000168,CH01,2020,2021-02-17,WIRZIRINA
0005000169,CH01,2020,2022-02-07,THERESAMREIN
0005000170,CH01,2019,2022-11-25,LOU93
0005000171,CH01,2020,2020-10-21,STAUFFERBLER
0005000172,CH01,2019,2022-05-02,HFREI
0005000173,CH01,2019,2023-05-06,ELVIRAHESS
0005000174,CH01,2020,2020-10-26,STEFANO18
0005000175,CH01,2018,2023-03-05,EGGERROMEO
0005000176,CH01,2021,2024-09-03,FERNANDOMEYE
0005000177,CH01,2018,2019-11-26,SCHERRERIREN
0005000178,CH01,2018,2024-05-31,NREY
0005000179,CH01,2018,2023-06-21,SASCHA53
0005000180,CH01,2018,2022-10-20,AMMANNEVE
0005000181,CH01,2021,2025-01-03,DBIERI
0005000182,CH01,2021,2024-03-02,KALINVALENTI
0005000183,CH01,2021,2023-10-07,YKAUFMANN
0005000184,CH01,2018,2023-07-09,TAMARA01
0005000185,CH01,2020,2024-05-26,GEIGERPATRIC
0005000186,CH01,2019,2022-03-13,VOGTDARKO
0005000187,CH01,2021,2022-04-13,SACHAREY
0005000188,CH01,2020,2023-02-27,ANNEMARIEWEH
0005000189,CH01,2021,2022-06-20,WINKLERBERTH
0005000190,CH01,2019,2022-08-06,QSUTER
0005000191,CH01,2019,2021-07-20,FELBERJOSEPH
0005000192,CH01,2018,2019-10-29,VOTT
0005000193,CH01,2020,2023-03-01,UKAGI
0005000194,CH01,2021,2022-05-31,BEATA56
0005000195,CH01,2021,2023-11-29,UVOGT
0005000196,CH01,2021,2022-10-27,METINWINKLER
0005000197,CH01,2018,2022-05-31,SHABAN77
0005000198,CH01,2020,2025-04-12,VOGTERICH
0005000199,CH01,2021,2025-06-10,PORTMANNJORG
0005000200,CH01,2021,2025-07-07,BRUNO43
0005000201,CH01,2020,2020-01-25,FRANZ48
0005000202,CH01,2019,2022-02-20,JURGENBATTIG
0005000203,CH01,2021,2021-10-13,MAURIZIOHART
0005000204,CH01,2021,2021-02-17,ALBANHAFLIGE
0005000205,CH01,2018,2024-03-28,SCHERRERABDU
0005000206,CH01,2018,2022-07-18,FLURINABIANC
0005000207,CH01,2021,2023-08-17,FFERRARI
0005000208,CH01,2021,2024-05-04,SCHOCHLAETIT
0005000209,CH01,2020,2020-08-30,XBIERI
0005000210,CH01,2021,2018-12-14,NEMANJA66
0005000211,CH01,2019,2025-01-26,WIRTHFREDY
0005000212,CH01,2021,2023-10-18,SIEGRISTIREN
0005000213,CH01,2018,2022-12-26,HOFSTETTERSA
0005000214,CH01,2020,2018-11-07,GERALDNAF
0005000215,CH01,2021,2023-06-12,GEORGSTEINMA
0005000216,CH01,2019,2023-09-06,WMAIER
0005000217,CH01,2019,2022-09-23,GERBERMATEJ
0005000218,CH01,2020,2020-08-03,IERNST
0005000219,CH01,2018,2020-11-30,VSCHERRER
0005000220,CH01,2021,2018-11-28,FHARTMANN
0005000221,CH01,2021,2021-05-08,SWIRZ
0005000222,CH01,2021,2019-06-23,KASTRIOTSCHA
0005000223,CH01,2019,2019-12-13,KSTALDER
0005000224,CH01,2018,2019-12-08,YUSUFBETSCHA
0005000225,CH01,2021,2020-06-04,RHUNZIKER
0005000226,CH01,2018,2025-01-11,BUCHERHILDA
0005000227,CH01,2018,2021-06-16,KARSTEN35
0005000228,CH01,2021,2020-12-21,WIRTHKENAN
0005000229,CH01,2019,2019-09-30,VICTORIA79
0005000230,CH01,2021,2019-08-01,GLOORMILOS
0005000231,CH01,2021,2023-05-11,GAELLEWAGNER
0005000232,CH01,2018,2024-07-12,WEBERGIAN
0005000233,CH01,2019,2020-04-06,ESMAHIRT
0005000234,CH01,2018,2018-08-29,HOFSTETTERGZ
0005000235,CH01,2018,2021-11-10,ALAN83
0005000236,CH01,2020,2019-12-27,SELINA79
0005000237,CH01,2021,2023-09-02,MARYSTUTZ
0005000238,CH01,2019,2023-03-29,QSCHMIDT
0005000239,CH01,2021,2022-04-01,LAURENT04
0005000240,CH01,2021,2019-12-19,ALESSANDRO70
0005000241,CH01,2021,2019-01-11,JOSETTE51
0005000242,CH01,2018,2018-09-11,YGLOOR
0005000243,CH01,2021,2022-02-13,HUBERARBNOR
0005000244,CH01,2019,2024-08-17,FORSTERBEKIM
0005000245,CH01,2019,2022-01-24,TSCHAUB
0005000246,CH01,2020,2018-09-17,RADMILARITTE
0005000247,CH01,2021,2020-09-11,VKOHLER
0005000248,CH01,2021,2019-08-30,ELISE55
0005000249,CH01,2020,2022-12-09,ESTHERHERMAN
0005000250,CH01,2019,2024-03-30,SILJA60
0005000251,CH01,2021,2025-03-03,ENES25
0005000252,CH01,2018,2024-11-03,NORBERTWAGNE
0005000253,CH01,2019,2021-03-27,BURAKGROB
0005000254,CH01,2020,2022-07-28,MHOTZ
0005000255,CH01,2020,2020-11-12,ELIOSTAUB
0005000256,CH01,2021,2019-07-14,NORMAEICHENB
0005000257,CH01,2021,2020-09-21,SWENWIRTH
0005000258,CH01,2018,2019-07-31,LEANBERNASCO
0005000259,CH01,2018,2022-06-18,FORSTERLEAN
0005000260,CH01,2021,2024-06-08,FILOMENABADE
0005000261,CH01,2019,2023-12-02,TLANZ
0005000262,CH01,2020,2021-08-30,RICCARDO31
0005000263,CH01,2021,2019-06-26,WIDMERIVANA
0005000264,CH01,2018,2022-11-17,KATHRINGLOOR
0005000265,CH01,2021,2020-03-06,KAISERWILLY
0005000266,CH01,2019,2023-05-18,GEGLI
0005000267,CH01,2021,2024-06-25,PTHOMMEN
0005000268,CH01,2018,2021-03-06,EMICHEL
0005000269,CH01,2020,2019-07-11,TIMOTHYBAR
0005000270,CH01,2021,2021-06-03,HAUSERTESSA
0005000271,CH01,2018,2021-06-14,GAELLEFUCHS
0005000272,CH01,2020,2019-01-10,FSCHWARZ
0005000273,CH01,2018,2023-05-18,BGUT
0005000274,CH01,2019,2021-05-24,SCHURCHROSWI
0005000275,CH01,2018,2024-04-30,KARL-HEINZ99
0005000276,CH01,2019,2022-09-19,PROBSTCOLIN
0005000277,CH01,2019,2021-09-21,GROSSSIMONE
0005000278,CH01,2019,2022-04-29,SCHARERROUVE
0005000279,CH01,2020,2022-03-05,FREIKRISTIAN
0005000280,CH01,2020,2021-08-21,SHEILA47
0005000281,CH01,2019,2019-09-23,ELVIRA08
0005000282,CH01,2018,2024-11-19,CSTADELMANN
0005000283,CH01,2021,2019-03-13,FLUCKIGERGIU
0005000284,CH01,2021,2022-08-29,JAYDENLANZ
0005000285,CH01,2021,2020-10-28,FISCHERBALZ
0005000286,CH01,2020,2022-09-10,CHEYENNEMART
0005000287,CH01,2021,2019-03-12,CYNTHIA21
0005000288,CH01,2021,2019-03-15,XSIEGRIST
0005000289,CH01,2018,2019-02-28,YWAGNER
0005000290,CH01,2019,2025-05-21,NIKOLAOSSCHA
0005000291,CH01,2020,2021-03-23,MIRELAISLER
0005000292,CH01,2020,2022-07-09,JULIUSERNST
0005000293,CH01,2018,2019-10-25,LEUBRYAN
0005000294,CH01,2019,2020-09-23,OHIRT
0005000295,CH01,2020,2019-10-29,MILKAFRIEDLI
0005000296,CH01,2018,2018-08-03,HEINZ77
0005000297,CH01,2020,2024-07-19,SCHURCHCHEYE
0005000298,CH01,2018,2022-01-06,LAURENCESTAU
0005000299,CH01,2018,2021-11-21,FMADER
0005000300,CH01,2018,2022-10-08,GROSSFRIDA
0005000301,CH01,2020,2022-05-24,SASCHAFORSTE
0005000302,CH01,2021,2019-08-07,GIUSEPPE20
0005000303,CH01,2020,2023-03-25,LEANDER10
0005000304,CH01,2019,2019-04-29,PIRMINSTEINM
0005000305,CH01,2018,2020-07-20,NIVESMARTIN
0005000306,CH01,2018,2023-10-22,ALIX01
0005000307,CH01,2021,2023-12-10,MENTOR61
0005000308,CH01,2018,2023-11-14,HODELMARIAN
0005000309,CH01,2019,2019-07-03,MARCOS86
0005000310,CH01,2020,2022-03-26,IVANABECK
0005000311,CH01,2021,2019-04-30,METTLERHANNE
0005000312,CH01,2019,2023-05-20,STJEPAN95
0005000313,CH01,2019,2020-05-18,ELEONORE29
0005000314,CH01,2018,2022-07-02,ZMOSER
0005000315,CH01,2018,2019-10-27,CELINEHODEL
0005000316,CH01,2021,2025-05-31,BUHLMANNJAN
0005000317,CH01,2020,2021-10-25,WALTERMARIEL
0005000318,CH01,2020,2020-01-05,CLANZ
0005000319,CH01,2020,2020-11-24,SIMONSIGRIST
0005000320,CH01,2018,2019-12-21,FATMIR14
0005000321,CH01,2020,2020-08-30,KELLY01
0005000322,CH01,2021,2023-05-12,DEVIN99
0005000323,CH01,2019,2025-04-13,TONIIMHOF
0005000324,CH01,2021,2024-05-25,ZMEISTER
0005000325,CH01,2018,2018-10-23,ARNEFANKHAUS
0005000326,CH01,2021,2022-12-14,JASIN60
0005000327,CH01,2018,2024-05-28,IDA58
0005000328,CH01,2021,2022-04-24,LORENASTOCKL
0005000329,CH01,2021,2020-11-18,DIEGO24
0005000330,CH01,2021,2024-06-11,METIN82
0005000331,CH01,2020,2022-07-23,MFORSTER
0005000332,CH01,2018,2019-05-19,ALENA50
0005000333,CH01,2020,2020-06-17,MULLERMOIRA
0005000334,CH01,2018,2020-03-23,NHOFMANN
0005000335,CH01,2019,2022-03-28,JUANKELLER
0005000336,CH01,2021,2024-01-21,FILIPABOLLIG
0005000337,CH01,2021,2021-09-01,ZIEGLERGEBHA
0005000338,CH01,2020,2024-11-23,OSCARJAGGI
0005000339,CH01,2021,2025-01-09,ANNIE52
0005000340,CH01,2020,2023-12-12,PORTMANNGISE
0005000341,CH01,2021,2025-07-05,GORDANABATTI
0005000342,CH01,2018,2021-10-11,AEBIGIANCARL
0005000343,CH01,2021,2025-02-01,ISLERGOKHAN
0005000344,CH01,2021,2024-10-13,PROBSTELLEN
0005000345,CH01,2020,2023-03-05,ANDRE94
0005000346,CH01,2018,2023-01-12,DIETRICHFRIE
0005000347,CH01,2019,2019-11-29,DORA57
0005000348,CH01,2019,2023-04-05,RONALD24
0005000349,CH01,2021,2019-05-13,FUCHSBETTINA
0005000350,CH01,2020,2021-01-05,SEAN24
0005000351,CH01,2021,2022-07-31,ARTHURHOTZ
0005000352,CH01,2020,2022-11-08,RENATE70
0005000353,CH01,2020,2019-06-22,DSTEINMANN
0005000354,CH01,2018,2019-04-21,BLUMONUR
0005000355,CH01,2019,2021-04-21,WSCHWARZ
0005000356,CH01,2021,2020-09-30,RENEEWETTSTE
0005000357,CH01,2020,2023-04-04,WENGERYASMIN
0005000358,CH01,2021,2021-10-27,CARLOZURCHER
0005000359,CH01,2018,2024-03-05,DBOSSHARD
0005000360,CH01,2018,2020-09-25,OMEILI
0005000361,CH01,2019,2025-03-11,SANDYSCHWARZ
0005000362,CH01,2021,2020-05-14,DETLEF25
0005000363,CH01,2021,2024-01-31,FELICE70
0005000364,CH01,2019,2019-01-08,JOSTISTVAN
0005000365,CH01,2020,2021-10-15,EDINWINKLER
0005000366,CH01,2021,2021-01-01,FRANZISKABRU
0005000367,CH01,2021,2021-05-26,HURLIMANNHEL
0005000368,CH01,2020,2023-02-08,MONIQUE76
0005000369,CH01,2018,2022-09-11,FLAVIAGROSS
0005000370,CH01,2020,2022-05-25,EKNECHT
0005000371,CH01,2021,2020-12-11,BWUTHRICH
0005000372,CH01,2018,2022-07-13,CARLA32
0005000373,CH01,2020,2023-03-14,WEBERLESLIE
0005000374,CH01,2021,2023-07-18,LBUHLER
0005000375,CH01,2018,2022-09-25,LINA17
0005000376,CH01,2018,2019-10-18,MBERNASCONI
0005000377,CH01,2019,2019-04-28,FHURLIMANN
0005000378,CH01,2021,2023-01-28,BOLLIGERBRIA
0005000379,CH01,2018,2024-04-12,WENGERFRIDOL
0005000380,CH01,2021,2023-03-10,SROOS
0005000381,CH01,2020,2021-04-16,NFRICK
0005000382,CH01,2021,2023-05-01,JANN94
0005000383,CH01,2018,2024-12-27,WTOBLER
0005000384,CH01,2019,2025-06-29,SCHWABMARTIN
0005000385,CH01,2019,2021-05-23,MERCEDESHOFE
0005000386,CH01,2020,2018-12-31,ACKERMANNMAR
0005000387,CH01,2018,2022-06-25,MUSTAFA40
0005000388,CH01,2021,2020-03-17,USENN
0005000389,CH01,2020,2023-07-18,BKESSLER
0005000390,CH01,2018,2022-05-18,MAHMUTEICHEN
0005000391,CH01,2018,2019-11-18,AKALIN
0005000392,CH01,2021,2019-08-23,HARALDALBREC
0005000393,CH01,2019,2019-01-24,ERNIELIF
0005000394,CH01,2020,2024-10-02,FEGLI
0005000395,CH01,2020,2019-07-10,YMARTIN
0005000396,CH01,2021,2023-06-06,LSEILER
0005000397,CH01,2020,2021-09-28,CSCHAR
0005000398,CH01,2020,2021-04-03,GEORGESLEUNB
0005000399,CH01,2021,2022-10-17,PWALDER
